SKU,Vendor,Order quantity,Cost per unit,Order date,Expected delivery,Actual delivery,Lead time
SKU-SHI-0001,UrbanWeave Co.,267,705,2022-08-21,2022-09-21,2022-09-22,32
SKU-CRO-0005,StitchWorks India,72,846,2022-08-21,2022-10-01,2022-10-01,41
SKU-CRO-0014,Apex Fashions,40,756,2022-08-21,2022-10-02,2022-10-02,42
SKU-PAN-0002,Apex Fashions,144,982,2022-08-28,2022-09-28,2022-10-01,34
SKU-CRO-0007,Apex Fashions,49,818,2022-08-28,2022-09-29,2022-10-01,34
SKU-TSH-0012,UrbanWeave Co.,40,715,2022-08-28,2022-10-23,2022-10-23,56
SKU-SHI-0003,KnitCraft Studio,98,1004,2022-09-04,2022-10-11,2022-10-12,38
SKU-TSH-0004,StitchWorks India,102,539,2022-09-11,2022-10-20,2022-10-25,44
SKU-SHI-0006,KnitCraft Studio,72,1097,2022-09-11,2022-10-23,2022-10-24,43
SKU-PAN-0008,StitchWorks India,52,1152,2022-09-11,2022-10-17,2022-10-18,37
SKU-PAN-0009,KnitCraft Studio,83,1008,2022-09-11,2022-10-14,2022-10-14,33
SKU-TSH-0010,WestCo Garments,74,782,2022-09-11,2022-10-11,2022-10-11,30
SKU-SHI-0001,UrbanWeave Co.,226,705,2022-09-18,2022-11-09,2022-11-09,52
SKU-CRO-0005,StitchWorks India,80,846,2022-09-18,2022-11-12,2022-11-12,55
SKU-SHI-0013,UrbanWeave Co.,40,1227,2022-09-18,2022-11-06,2022-11-08,51
SKU-CRO-0014,Apex Fashions,66,756,2022-09-18,2022-10-31,2022-11-01,44
SKU-CRO-0019,StitchWorks India,40,726,2022-09-18,2022-10-30,2022-11-02,45
SKU-PAN-0002,Apex Fashions,127,982,2022-09-25,2022-10-27,2022-10-28,33
SKU-CRO-0007,Apex Fashions,44,818,2022-09-25,2022-11-13,2022-11-16,52
SKU-TSH-0012,UrbanWeave Co.,51,715,2022-09-25,2022-10-26,2022-10-29,34
SKU-SHI-0003,KnitCraft Studio,92,1004,2022-10-02,2022-11-07,2022-11-07,36
SKU-TSH-0004,StitchWorks India,80,539,2022-10-09,2022-11-19,2022-11-20,42
SKU-SHI-0006,KnitCraft Studio,54,1097,2022-10-09,2022-11-08,2022-11-08,30
SKU-PAN-0008,StitchWorks India,40,1152,2022-10-09,2022-11-27,2022-11-28,50
SKU-PAN-0009,KnitCraft Studio,79,1008,2022-10-09,2022-12-04,2022-12-05,57
SKU-TSH-0010,WestCo Garments,40,782,2022-10-09,2022-12-02,2022-12-02,54
SKU-SHO-0011,WestCo Garments,71,761,2022-10-09,2022-11-18,2022-11-21,43
SKU-SHI-0001,UrbanWeave Co.,342,705,2022-10-16,2022-11-20,2022-11-22,37
SKU-CRO-0005,StitchWorks India,88,846,2022-10-16,2022-12-06,2022-12-06,51
SKU-SHI-0013,UrbanWeave Co.,67,1227,2022-10-16,2022-12-06,2022-12-07,52
SKU-CRO-0014,Apex Fashions,47,756,2022-10-16,2022-11-24,2022-11-24,39
SKU-CRO-0019,StitchWorks India,40,726,2022-10-16,2022-11-17,2022-11-17,32
SKU-PAN-0002,Apex Fashions,202,982,2022-10-23,2022-12-04,2022-12-05,43
SKU-CRO-0007,Apex Fashions,69,818,2022-10-23,2022-12-08,2022-12-13,51
SKU-TSH-0012,UrbanWeave Co.,64,715,2022-10-23,2022-12-06,2022-12-06,44
SKU-SHI-0003,KnitCraft Studio,100,1004,2022-10-30,2022-12-19,2022-12-21,52
SKU-TSH-0004,StitchWorks India,86,539,2022-11-06,2022-12-13,2022-12-16,40
SKU-SHI-0006,KnitCraft Studio,105,1097,2022-11-06,2022-12-27,2022-12-30,54
SKU-PAN-0008,StitchWorks India,82,1152,2022-11-06,2022-12-31,2023-01-05,60
SKU-PAN-0009,KnitCraft Studio,68,1008,2022-11-06,2022-12-21,2022-12-26,50
SKU-TSH-0010,WestCo Garments,82,782,2022-11-06,2022-12-11,2022-12-11,35
SKU-SHO-0011,WestCo Garments,40,761,2022-11-06,2022-12-04,2022-12-04,28
SKU-SHI-0001,UrbanWeave Co.,340,705,2022-11-13,2022-12-19,2022-12-24,41
SKU-CRO-0005,StitchWorks India,93,846,2022-11-13,2022-12-19,2022-12-24,41
SKU-SHI-0013,UrbanWeave Co.,44,1227,2022-11-13,2023-01-04,2023-01-04,52
SKU-CRO-0014,Apex Fashions,40,756,2022-11-13,2022-12-15,2022-12-15,32
SKU-CRO-0019,StitchWorks India,40,726,2022-11-13,2022-12-29,2022-12-29,46
SKU-JAC-0031,WestCo Garments,40,1800,2022-11-13,2023-01-08,2023-01-10,58
SKU-PAN-0002,Apex Fashions,170,982,2022-11-20,2022-12-28,2023-01-02,43
SKU-CRO-0007,Apex Fashions,69,818,2022-11-20,2023-01-04,2023-01-05,46
SKU-TSH-0012,UrbanWeave Co.,50,715,2022-11-20,2022-12-21,2022-12-24,34
SKU-SHI-0017,UrbanWeave Co.,40,842,2022-11-20,2023-01-14,2023-01-15,56
SKU-SHI-0024,KnitCraft Studio,62,854,2022-11-20,2023-01-13,2023-01-16,57
SKU-SHI-0003,KnitCraft Studio,122,1004,2022-11-27,2022-12-25,2022-12-30,33
SKU-TSH-0004,StitchWorks India,102,539,2022-12-04,2023-01-04,2023-01-06,33
SKU-SHI-0006,KnitCraft Studio,72,1097,2022-12-04,2023-01-15,2023-01-17,44
SKU-PAN-0008,StitchWorks India,74,1152,2022-12-04,2023-01-10,2023-01-15,42
SKU-PAN-0009,KnitCraft Studio,56,1008,2022-12-04,2023-01-16,2023-01-18,45
SKU-TSH-0010,WestCo Garments,72,782,2022-12-04,2023-01-01,2023-01-01,28
SKU-SHO-0011,WestCo Garments,41,761,2022-12-04,2023-01-26,2023-01-26,53
SKU-SHI-0001,UrbanWeave Co.,214,705,2022-12-11,2023-01-27,2023-02-01,52
SKU-CRO-0005,StitchWorks India,55,846,2022-12-11,2023-01-14,2023-01-16,36
SKU-SHI-0013,UrbanWeave Co.,40,1227,2022-12-11,2023-01-22,2023-01-23,43
SKU-CRO-0014,Apex Fashions,62,756,2022-12-11,2023-01-21,2023-01-21,41
SKU-CRO-0019,StitchWorks India,49,726,2022-12-11,2023-01-11,2023-01-12,32
SKU-JAC-0027,StitchWorks India,40,1871,2022-12-11,2023-01-19,2023-01-22,42
SKU-JAC-0031,WestCo Garments,40,1800,2022-12-11,2023-01-18,2023-01-18,38
SKU-PAN-0002,Apex Fashions,178,982,2022-12-18,2023-02-06,2023-02-09,53
SKU-CRO-0007,Apex Fashions,54,818,2022-12-18,2023-02-01,2023-02-06,50
SKU-TSH-0012,UrbanWeave Co.,72,715,2022-12-18,2023-02-04,2023-02-06,50
SKU-SHI-0017,UrbanWeave Co.,45,842,2022-12-18,2023-02-12,2023-02-15,59
SKU-SHI-0024,KnitCraft Studio,40,854,2022-12-18,2023-02-11,2023-02-11,55
SKU-SHI-0003,KnitCraft Studio,122,1004,2022-12-25,2023-02-17,2023-02-20,57
SKU-TSH-0004,StitchWorks India,100,539,2023-01-01,2023-02-03,2023-02-06,36
SKU-SHI-0006,KnitCraft Studio,75,1097,2023-01-01,2023-01-31,2023-02-03,33
SKU-PAN-0008,StitchWorks India,82,1152,2023-01-01,2023-02-19,2023-02-22,52
SKU-PAN-0009,KnitCraft Studio,78,1008,2023-01-01,2023-02-19,2023-02-19,49
SKU-TSH-0010,WestCo Garments,48,782,2023-01-01,2023-02-13,2023-02-14,44
SKU-SHO-0011,WestCo Garments,72,761,2023-01-01,2023-02-18,2023-02-19,49
SKU-SHI-0001,UrbanWeave Co.,358,705,2023-01-08,2023-03-01,2023-03-04,55
SKU-CRO-0005,StitchWorks India,110,846,2023-01-08,2023-02-21,2023-02-21,44
SKU-SHI-0013,UrbanWeave Co.,61,1227,2023-01-08,2023-02-15,2023-02-16,39
SKU-CRO-0014,Apex Fashions,62,756,2023-01-08,2023-02-20,2023-02-20,43
SKU-CRO-0019,StitchWorks India,40,726,2023-01-08,2023-02-05,2023-02-10,33
SKU-JAC-0027,StitchWorks India,40,1871,2023-01-08,2023-02-08,2023-02-10,33
SKU-JAC-0031,WestCo Garments,42,1800,2023-01-08,2023-02-26,2023-03-03,54
SKU-PAN-0002,Apex Fashions,164,982,2023-01-15,2023-03-04,2023-03-04,48
SKU-CRO-0007,Apex Fashions,63,818,2023-01-15,2023-02-15,2023-02-15,31
SKU-TSH-0012,UrbanWeave Co.,40,715,2023-01-15,2023-02-22,2023-02-25,41
SKU-SHI-0017,UrbanWeave Co.,63,842,2023-01-15,2023-03-03,2023-03-03,47
SKU-SHI-0024,KnitCraft Studio,52,854,2023-01-15,2023-02-25,2023-02-26,42
SKU-SHI-0003,KnitCraft Studio,118,1004,2023-01-22,2023-02-26,2023-03-01,38
SKU-TSH-0004,StitchWorks India,144,539,2023-01-29,2023-03-09,2023-03-09,39
SKU-SHI-0006,KnitCraft Studio,74,1097,2023-01-29,2023-03-07,2023-03-08,38
SKU-PAN-0008,StitchWorks India,66,1152,2023-01-29,2023-03-11,2023-03-11,41
SKU-PAN-0009,KnitCraft Studio,74,1008,2023-01-29,2023-03-21,2023-03-21,51
SKU-TSH-0010,WestCo Garments,56,782,2023-01-29,2023-03-21,2023-03-26,56
SKU-SHO-0011,WestCo Garments,40,761,2023-01-29,2023-03-13,2023-03-13,43
SKU-CRO-0038,WestCo Garments,40,1060,2023-01-29,2023-03-25,2023-03-30,60
SKU-SHI-0001,UrbanWeave Co.,433,705,2023-02-05,2023-03-29,2023-04-03,57
SKU-CRO-0005,StitchWorks India,126,846,2023-02-05,2023-03-18,2023-03-23,46
SKU-SHI-0013,UrbanWeave Co.,42,1227,2023-02-05,2023-03-18,2023-03-20,43
SKU-CRO-0014,Apex Fashions,84,756,2023-02-05,2023-03-12,2023-03-17,40
SKU-CRO-0019,StitchWorks India,40,726,2023-02-05,2023-03-14,2023-03-17,40
SKU-PAN-0020,WestCo Garments,40,1163,2023-02-05,2023-03-26,2023-03-29,52
SKU-PAN-0021,Apex Fashions,78,1216,2023-02-05,2023-03-23,2023-03-26,49
SKU-JAC-0027,StitchWorks India,71,1871,2023-02-05,2023-03-09,2023-03-10,33
SKU-JAC-0031,WestCo Garments,50,1800,2023-02-05,2023-03-16,2023-03-19,42
SKU-CRO-0035,Apex Fashions,40,721,2023-02-05,2023-03-28,2023-03-30,53
SKU-PAN-0002,Apex Fashions,236,982,2023-02-12,2023-03-26,2023-03-26,42
SKU-CRO-0007,Apex Fashions,102,818,2023-02-12,2023-04-08,2023-04-08,55
SKU-TSH-0012,UrbanWeave Co.,77,715,2023-02-12,2023-03-21,2023-03-26,42
SKU-SHI-0017,UrbanWeave Co.,58,842,2023-02-12,2023-03-29,2023-04-03,50
SKU-SHI-0024,KnitCraft Studio,42,854,2023-02-12,2023-03-21,2023-03-21,37
SKU-SHI-0003,KnitCraft Studio,132,1004,2023-02-19,2023-03-27,2023-03-27,36
SKU-TSH-0004,StitchWorks India,98,539,2023-02-26,2023-04-22,2023-04-22,55
SKU-SHI-0006,KnitCraft Studio,88,1097,2023-02-26,2023-04-07,2023-04-09,42
SKU-PAN-0008,StitchWorks India,63,1152,2023-02-26,2023-04-11,2023-04-12,45
SKU-PAN-0009,KnitCraft Studio,40,1008,2023-02-26,2023-03-31,2023-04-05,38
SKU-TSH-0010,WestCo Garments,50,782,2023-02-26,2023-04-10,2023-04-11,44
SKU-SHO-0011,WestCo Garments,77,761,2023-02-26,2023-04-15,2023-04-15,48
SKU-PAN-0016,KnitCraft Studio,58,970,2023-02-26,2023-03-29,2023-03-30,32
SKU-CRO-0030,WestCo Garments,40,621,2023-02-26,2023-04-01,2023-04-03,36
SKU-CRO-0038,WestCo Garments,40,1060,2023-02-26,2023-04-06,2023-04-09,42
SKU-SHI-0001,UrbanWeave Co.,336,705,2023-03-05,2023-04-02,2023-04-07,33
SKU-CRO-0005,StitchWorks India,67,846,2023-03-05,2023-04-18,2023-04-19,45
SKU-SHI-0013,UrbanWeave Co.,48,1227,2023-03-05,2023-04-09,2023-04-11,37
SKU-CRO-0014,Apex Fashions,40,756,2023-03-05,2023-04-10,2023-04-12,38
SKU-SHI-0015,Apex Fashions,49,940,2023-03-05,2023-04-02,2023-04-04,30
SKU-CRO-0019,StitchWorks India,51,726,2023-03-05,2023-04-19,2023-04-19,45
SKU-PAN-0020,WestCo Garments,40,1163,2023-03-05,2023-04-16,2023-04-18,44
SKU-JAC-0027,StitchWorks India,66,1871,2023-03-05,2023-04-15,2023-04-15,41
SKU-JAC-0031,WestCo Garments,60,1800,2023-03-05,2023-04-24,2023-04-24,50
SKU-CRO-0035,Apex Fashions,40,721,2023-03-05,2023-04-19,2023-04-21,47
SKU-PAN-0002,Apex Fashions,190,982,2023-03-12,2023-04-12,2023-04-12,31
SKU-CRO-0007,Apex Fashions,74,818,2023-03-12,2023-04-26,2023-05-01,50
SKU-TSH-0012,UrbanWeave Co.,58,715,2023-03-12,2023-04-14,2023-04-16,35
SKU-SHI-0017,UrbanWeave Co.,72,842,2023-03-12,2023-05-06,2023-05-06,55
SKU-PAN-0021,Apex Fashions,40,1216,2023-03-12,2023-04-29,2023-05-04,53
SKU-SHI-0024,KnitCraft Studio,40,854,2023-03-12,2023-04-29,2023-04-29,48
SKU-SHI-0003,KnitCraft Studio,134,1004,2023-03-19,2023-04-16,2023-04-16,28
SKU-TSH-0004,StitchWorks India,82,539,2023-03-26,2023-05-06,2023-05-09,44
SKU-SHI-0006,KnitCraft Studio,104,1097,2023-03-26,2023-05-18,2023-05-20,55
SKU-PAN-0008,StitchWorks India,79,1152,2023-03-26,2023-05-10,2023-05-15,50
SKU-PAN-0009,KnitCraft Studio,40,1008,2023-03-26,2023-05-17,2023-05-17,52
SKU-TSH-0010,WestCo Garments,70,782,2023-03-26,2023-05-05,2023-05-07,42
SKU-SHO-0011,WestCo Garments,49,761,2023-03-26,2023-05-11,2023-05-16,51
SKU-PAN-0016,KnitCraft Studio,42,970,2023-03-26,2023-04-26,2023-04-26,31
SKU-CRO-0030,WestCo Garments,41,621,2023-03-26,2023-05-12,2023-05-12,47
SKU-CRO-0038,WestCo Garments,40,1060,2023-03-26,2023-05-12,2023-05-12,47
SKU-SHI-0001,UrbanWeave Co.,362,705,2023-04-02,2023-04-30,2023-04-30,28
SKU-CRO-0005,StitchWorks India,108,846,2023-04-02,2023-05-26,2023-05-28,56
SKU-SHI-0013,UrbanWeave Co.,60,1227,2023-04-02,2023-05-18,2023-05-18,46
SKU-CRO-0014,Apex Fashions,52,756,2023-04-02,2023-05-05,2023-05-06,34
SKU-SHI-0015,Apex Fashions,49,940,2023-04-02,2023-05-04,2023-05-04,32
SKU-CRO-0019,StitchWorks India,40,726,2023-04-02,2023-05-11,2023-05-13,41
SKU-PAN-0020,WestCo Garments,40,1163,2023-04-02,2023-05-13,2023-05-16,44
SKU-JAC-0027,StitchWorks India,47,1871,2023-04-02,2023-05-03,2023-05-04,32
SKU-JAC-0031,WestCo Garments,40,1800,2023-04-02,2023-05-08,2023-05-10,38
SKU-CRO-0035,Apex Fashions,68,721,2023-04-02,2023-05-02,2023-05-02,30
SKU-PAN-0002,Apex Fashions,184,982,2023-04-09,2023-05-11,2023-05-12,33
SKU-CRO-0007,Apex Fashions,100,818,2023-04-09,2023-05-30,2023-05-30,51
SKU-TSH-0012,UrbanWeave Co.,67,715,2023-04-09,2023-05-29,2023-05-30,51
SKU-SHI-0017,UrbanWeave Co.,67,842,2023-04-09,2023-05-10,2023-05-13,34
SKU-PAN-0021,Apex Fashions,50,1216,2023-04-09,2023-05-14,2023-05-19,40
SKU-SHI-0024,KnitCraft Studio,44,854,2023-04-09,2023-05-28,2023-05-29,50
SKU-JAC-0025,StitchWorks India,54,1639,2023-04-09,2023-05-15,2023-05-18,39
SKU-SHI-0003,KnitCraft Studio,139,1004,2023-04-16,2023-05-25,2023-05-27,41
SKU-PAN-0022,KnitCraft Studio,56,1076,2023-04-16,2023-06-10,2023-06-10,55
SKU-TSH-0004,StitchWorks India,133,539,2023-04-23,2023-06-07,2023-06-08,46
SKU-SHI-0006,KnitCraft Studio,112,1097,2023-04-23,2023-05-23,2023-05-26,33
SKU-PAN-0008,StitchWorks India,54,1152,2023-04-23,2023-06-09,2023-06-12,50
SKU-PAN-0009,KnitCraft Studio,54,1008,2023-04-23,2023-06-07,2023-06-07,45
SKU-TSH-0010,WestCo Garments,53,782,2023-04-23,2023-05-23,2023-05-26,33
SKU-SHO-0011,WestCo Garments,78,761,2023-04-23,2023-06-12,2023-06-17,55
SKU-PAN-0016,KnitCraft Studio,62,970,2023-04-23,2023-06-06,2023-06-07,45
SKU-CRO-0030,WestCo Garments,52,621,2023-04-23,2023-06-16,2023-06-21,59
SKU-CRO-0038,WestCo Garments,40,1060,2023-04-23,2023-05-21,2023-05-21,28
SKU-SHI-0001,UrbanWeave Co.,418,705,2023-04-30,2023-06-15,2023-06-15,46
SKU-CRO-0005,StitchWorks India,133,846,2023-04-30,2023-06-14,2023-06-17,48
SKU-SHI-0013,UrbanWeave Co.,53,1227,2023-04-30,2023-06-03,2023-06-03,34
SKU-CRO-0014,Apex Fashions,70,756,2023-04-30,2023-06-15,2023-06-17,48
SKU-SHI-0015,Apex Fashions,71,940,2023-04-30,2023-05-31,2023-06-05,36
SKU-CRO-0019,StitchWorks India,64,726,2023-04-30,2023-06-03,2023-06-04,35
SKU-PAN-0020,WestCo Garments,62,1163,2023-04-30,2023-06-25,2023-06-25,56
SKU-JAC-0027,StitchWorks India,40,1871,2023-04-30,2023-05-29,2023-05-31,31
SKU-JAC-0031,WestCo Garments,40,1800,2023-04-30,2023-05-28,2023-05-29,29
SKU-CRO-0035,Apex Fashions,72,721,2023-04-30,2023-06-08,2023-06-08,39
SKU-PAN-0002,Apex Fashions,206,982,2023-05-07,2023-06-22,2023-06-22,46
SKU-CRO-0007,Apex Fashions,105,818,2023-05-07,2023-06-11,2023-06-12,36
SKU-TSH-0012,UrbanWeave Co.,42,715,2023-05-07,2023-06-26,2023-06-26,50
SKU-SHI-0017,UrbanWeave Co.,44,842,2023-05-07,2023-06-12,2023-06-13,37
SKU-PAN-0021,Apex Fashions,68,1216,2023-05-07,2023-06-22,2023-06-24,48
SKU-SHI-0024,KnitCraft Studio,40,854,2023-05-07,2023-06-13,2023-06-13,37
SKU-JAC-0025,StitchWorks India,64,1639,2023-05-07,2023-06-06,2023-06-06,30
SKU-SHI-0003,KnitCraft Studio,178,1004,2023-05-14,2023-06-29,2023-06-29,46
SKU-PAN-0022,KnitCraft Studio,66,1076,2023-05-14,2023-07-06,2023-07-11,58
SKU-TSH-0004,StitchWorks India,114,539,2023-05-21,2023-06-23,2023-06-25,35
SKU-SHI-0006,KnitCraft Studio,96,1097,2023-05-21,2023-07-07,2023-07-07,47
SKU-PAN-0008,StitchWorks India,43,1152,2023-05-21,2023-07-05,2023-07-08,48
SKU-PAN-0009,KnitCraft Studio,92,1008,2023-05-21,2023-06-24,2023-06-26,36
SKU-TSH-0010,WestCo Garments,44,782,2023-05-21,2023-06-27,2023-06-27,37
SKU-SHO-0011,WestCo Garments,57,761,2023-05-21,2023-07-02,2023-07-05,45
SKU-PAN-0016,KnitCraft Studio,54,970,2023-05-21,2023-07-07,2023-07-08,48
SKU-PAN-0018,Apex Fashions,41,1176,2023-05-21,2023-06-30,2023-07-03,43
SKU-CRO-0030,WestCo Garments,40,621,2023-05-21,2023-06-30,2023-07-03,43
SKU-CRO-0038,WestCo Garments,40,1060,2023-05-21,2023-07-12,2023-07-12,52
SKU-SHI-0001,UrbanWeave Co.,343,705,2023-05-28,2023-07-23,2023-07-25,58
SKU-CRO-0005,StitchWorks India,62,846,2023-05-28,2023-07-08,2023-07-09,42
SKU-SHI-0013,UrbanWeave Co.,66,1227,2023-05-28,2023-07-20,2023-07-22,55
SKU-CRO-0014,Apex Fashions,58,756,2023-05-28,2023-07-14,2023-07-14,47
SKU-SHI-0015,Apex Fashions,48,940,2023-05-28,2023-07-17,2023-07-22,55
SKU-CRO-0019,StitchWorks India,40,726,2023-05-28,2023-07-21,2023-07-22,55
SKU-PAN-0020,WestCo Garments,40,1163,2023-05-28,2023-07-08,2023-07-10,43
SKU-JAC-0027,StitchWorks India,40,1871,2023-05-28,2023-07-15,2023-07-15,48
SKU-JAC-0031,WestCo Garments,40,1800,2023-05-28,2023-07-17,2023-07-22,55
SKU-CRO-0035,Apex Fashions,40,721,2023-05-28,2023-06-27,2023-07-02,35
SKU-PAN-0002,Apex Fashions,133,982,2023-06-04,2023-07-15,2023-07-20,46
SKU-CRO-0007,Apex Fashions,68,818,2023-06-04,2023-07-12,2023-07-14,40
SKU-TSH-0012,UrbanWeave Co.,58,715,2023-06-04,2023-07-08,2023-07-13,39
SKU-SHI-0017,UrbanWeave Co.,40,842,2023-06-04,2023-07-02,2023-07-04,30
SKU-PAN-0021,Apex Fashions,72,1216,2023-06-04,2023-07-17,2023-07-18,44
SKU-SHI-0024,KnitCraft Studio,40,854,2023-06-04,2023-07-18,2023-07-21,47
SKU-JAC-0025,StitchWorks India,40,1639,2023-06-04,2023-07-20,2023-07-20,46
SKU-SHI-0003,KnitCraft Studio,122,1004,2023-06-11,2023-07-20,2023-07-20,39
SKU-PAN-0022,KnitCraft Studio,40,1076,2023-06-11,2023-08-02,2023-08-03,53
SKU-TSH-0004,StitchWorks India,68,539,2023-06-18,2023-07-24,2023-07-25,37
SKU-SHI-0006,KnitCraft Studio,72,1097,2023-06-18,2023-08-02,2023-08-02,45
SKU-PAN-0008,StitchWorks India,88,1152,2023-06-18,2023-08-06,2023-08-11,54
SKU-PAN-0009,KnitCraft Studio,70,1008,2023-06-18,2023-08-11,2023-08-12,55
SKU-TSH-0010,WestCo Garments,70,782,2023-06-18,2023-08-02,2023-08-05,48
SKU-SHO-0011,WestCo Garments,76,761,2023-06-18,2023-07-19,2023-07-19,31
SKU-PAN-0016,KnitCraft Studio,40,970,2023-06-18,2023-08-02,2023-08-02,45
SKU-PAN-0018,Apex Fashions,44,1176,2023-06-18,2023-07-30,2023-08-04,47
SKU-PAN-0026,WestCo Garments,40,1332,2023-06-18,2023-08-05,2023-08-06,49
