SKU,Category,Size,Units in stock,Units sold (last 7/30/60 days),Days of inventory left,Dead stock flag,date
SKU-CRO-0037,croptops,XL,116,0/0/0,999.0,Y,2022-01-02
SKU-CRO-0038,croptops,M,47,0/0/0,999.0,Y,2022-01-02
SKU-SHO-0039,shorts,XXL,114,1/1/1,999.0,N,2022-01-02
SKU-SHO-0040,shorts,XS,127,0/0/0,999.0,Y,2022-01-02
SKU-TSH-0041,tshirts,M,129,0/0/0,999.0,Y,2022-01-02
SKU-CRO-0042,croptops,XXL,125,0/0/0,999.0,Y,2022-01-02
SKU-CRO-0043,croptops,XS,61,0/0/0,999.0,Y,2022-01-02
SKU-JAC-0044,jackets,XL,108,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0045,shirts,L,109,1/1/1,999.0,N,2022-01-02
SKU-JAC-0046,jackets,M,130,0/0/0,999.0,Y,2022-01-02
SKU-PAN-0047,pants,L,103,0/0/0,999.0,Y,2022-01-02
SKU-CRO-0048,croptops,XXL,53,2/2/2,795.0,N,2022-01-02
SKU-TSH-0049,tshirts,XS,126,0/0/0,999.0,Y,2022-01-02
SKU-SHO-0050,shorts,S,123,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0051,shirts,L,74,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0052,shirts,S,78,0/0/0,999.0,Y,2022-01-02
SKU-JAC-0053,jackets,M,72,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0054,shirts,XS,78,0/0/0,999.0,Y,2022-01-02
SKU-JAC-0055,jackets,XS,111,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0001,shirts,XS,8,28/40/40,6.0,N,2022-01-09
SKU-PAN-0002,pants,L,23,14/23/23,30.0,N,2022-01-09
SKU-SHI-0003,shirts,XS,52,9/16/16,97.5,N,2022-01-09
SKU-TSH-0004,tshirts,L,108,10/12/12,270.0,N,2022-01-09
SKU-CRO-0005,croptops,L,47,6/9/9,156.7,N,2022-01-09
SKU-SHI-0006,shirts,XL,89,3/6/6,445.0,N,2022-01-09
SKU-CRO-0007,croptops,L,97,3/4/4,727.5,N,2022-01-09
SKU-PAN-0008,pants,XXL,129,3/6/6,645.0,N,2022-01-09
SKU-PAN-0009,pants,S,91,4/6/6,455.0,N,2022-01-09
SKU-TSH-0010,tshirts,M,82,2/4/4,615.0,N,2022-01-09
SKU-SHO-0011,shorts,L,122,0/0/0,999.0,Y,2022-01-09
SKU-TSH-0012,tshirts,XS,57,1/1/1,999.0,N,2022-01-09
SKU-SHI-0013,shirts,XXL,90,0/0/0,999.0,Y,2022-01-09
SKU-CRO-0014,croptops,XXL,50,3/4/4,375.0,N,2022-01-09
SKU-SHI-0015,shirts,M,137,3/3/3,999.0,N,2022-01-09
SKU-PAN-0016,pants,XS,127,0/0/0,999.0,Y,2022-01-09
SKU-SHI-0017,shirts,S,79,3/3/3,790.0,N,2022-01-09
SKU-PAN-0018,pants,M,120,1/1/1,999.0,N,2022-01-09
SKU-CRO-0019,croptops,M,58,2/3/3,580.0,N,2022-01-09
SKU-PAN-0020,pants,S,89,1/2/2,999.0,N,2022-01-09
SKU-PAN-0021,pants,M,83,2/2/2,999.0,N,2022-01-09
SKU-PAN-0022,pants,S,106,0/0/0,999.0,Y,2022-01-09
SKU-SHO-0023,shorts,XS,127,1/1/1,999.0,N,2022-01-09
SKU-SHI-0024,shirts,M,62,1/1/1,999.0,N,2022-01-09
SKU-JAC-0025,jackets,XS,94,0/1/1,999.0,N,2022-01-09
SKU-PAN-0026,pants,L,87,0/0/0,999.0,Y,2022-01-09
SKU-JAC-0027,jackets,XL,48,1/1/1,999.0,N,2022-01-09
SKU-PAN-0028,pants,XL,107,0/0/0,999.0,Y,2022-01-09
SKU-TSH-0029,tshirts,L,97,0/0/0,999.0,Y,2022-01-09
SKU-CRO-0030,croptops,XL,62,0/0/0,999.0,Y,2022-01-09
SKU-JAC-0031,jackets,XXL,48,1/1/1,999.0,N,2022-01-09
SKU-TSH-0032,tshirts,XS,96,0/1/1,999.0,N,2022-01-09
SKU-SHO-0033,shorts,XL,119,1/1/1,999.0,N,2022-01-09
SKU-PAN-0034,pants,XS,65,0/1/1,999.0,N,2022-01-09
SKU-CRO-0035,croptops,XXL,53,0/0/0,999.0,Y,2022-01-09
SKU-SHI-0036,shirts,M,129,0/1/1,999.0,N,2022-01-09
SKU-CRO-0037,croptops,S,116,0/0/0,999.0,Y,2022-01-09
SKU-CRO-0038,croptops,L,46,1/1/1,999.0,N,2022-01-09
SKU-SHO-0039,shorts,XL,113,1/2/2,999.0,N,2022-01-09
SKU-SHO-0040,shorts,XS,127,0/0/0,999.0,Y,2022-01-09
SKU-TSH-0041,tshirts,XXL,128,1/1/1,999.0,N,2022-01-09
SKU-CRO-0042,croptops,L,125,0/0/0,999.0,Y,2022-01-09
SKU-CRO-0043,croptops,L,59,2/2/2,885.0,N,2022-01-09
SKU-JAC-0044,jackets,XXL,107,1/1/1,999.0,N,2022-01-09
SKU-SHI-0045,shirts,M,108,1/2/2,999.0,N,2022-01-09
SKU-JAC-0046,jackets,XL,129,1/1/1,999.0,N,2022-01-09
SKU-PAN-0047,pants,M,102,1/1/1,999.0,N,2022-01-09
SKU-CRO-0048,croptops,L,53,0/2/2,795.0,N,2022-01-09
SKU-TSH-0049,tshirts,L,124,2/2/2,999.0,N,2022-01-09
SKU-SHO-0050,shorts,XXL,121,2/2/2,999.0,N,2022-01-09
SKU-SHI-0051,shirts,XL,72,2/2/2,999.0,N,2022-01-09
SKU-SHI-0052,shirts,XXL,78,0/0/0,999.0,Y,2022-01-09
SKU-JAC-0053,jackets,XL,70,2/2/2,999.0,N,2022-01-09
SKU-SHI-0054,shirts,XXL,78,0/0/0,999.0,Y,2022-01-09
SKU-JAC-0055,jackets,XL,111,0/0/0,999.0,Y,2022-01-09
SKU-SHI-0001,shirts,XL,0,41/81/81,0.0,N,2022-01-16
SKU-PAN-0002,pants,XL,0,23/46/46,0.0,N,2022-01-16
SKU-SHI-0003,shirts,M,35,17/33/33,31.8,N,2022-01-16
SKU-TSH-0004,tshirts,L,93,15/27/27,103.3,N,2022-01-16
SKU-CRO-0005,croptops,XS,44,3/12/12,110.0,N,2022-01-16
SKU-SHI-0006,shirts,XXL,82,7/13/13,189.2,N,2022-01-16
SKU-CRO-0007,croptops,XL,93,4/8/8,348.8,N,2022-01-16
SKU-PAN-0008,pants,S,125,4/10/10,375.0,N,2022-01-16
SKU-PAN-0009,pants,S,87,4/10/10,261.0,N,2022-01-16
SKU-TSH-0010,tshirts,XXL,78,4/8/8,292.5,N,2022-01-16
SKU-SHO-0011,shorts,XS,119,3/3/3,999.0,N,2022-01-16
SKU-TSH-0012,tshirts,XXL,53,4/5/5,318.0,N,2022-01-16
SKU-SHI-0013,shirts,XXL,85,5/5/5,510.0,N,2022-01-16
SKU-CRO-0014,croptops,S,46,4/8/8,172.5,N,2022-01-16
SKU-SHI-0015,shirts,S,137,0/3/3,999.0,N,2022-01-16
SKU-PAN-0016,pants,XXL,123,4/4/4,922.5,N,2022-01-16
SKU-SHI-0017,shirts,XXL,79,0/3/3,790.0,N,2022-01-16
SKU-PAN-0018,pants,XL,117,3/4/4,877.5,N,2022-01-16
SKU-CRO-0019,croptops,M,56,2/5/5,336.0,N,2022-01-16
SKU-PAN-0020,pants,M,86,3/5/5,516.0,N,2022-01-16
SKU-PAN-0021,pants,XXL,82,1/3/3,820.0,N,2022-01-16
SKU-PAN-0022,pants,S,106,0/0/0,999.0,Y,2022-01-16
SKU-SHO-0023,shorts,M,125,2/3/3,999.0,N,2022-01-16
SKU-SHI-0024,shirts,S,62,0/1/1,999.0,N,2022-01-16
SKU-JAC-0025,jackets,XL,93,1/2/2,999.0,N,2022-01-16
SKU-PAN-0026,pants,XXL,85,2/2/2,999.0,N,2022-01-16
SKU-JAC-0027,jackets,XS,47,1/2/2,705.0,N,2022-01-16
SKU-PAN-0028,pants,L,106,1/1/1,999.0,N,2022-01-16
SKU-TSH-0029,tshirts,XL,96,1/1/1,999.0,N,2022-01-16
SKU-CRO-0030,croptops,M,60,2/2/2,900.0,N,2022-01-16
SKU-JAC-0031,jackets,M,47,1/2/2,705.0,N,2022-01-16
SKU-TSH-0032,tshirts,M,95,1/2/2,999.0,N,2022-01-16
SKU-SHO-0033,shorts,XL,119,0/1/1,999.0,N,2022-01-16
SKU-PAN-0034,pants,XS,64,1/2/2,960.0,N,2022-01-16
SKU-CRO-0035,croptops,L,53,0/0/0,999.0,Y,2022-01-16
SKU-SHI-0036,shirts,XXL,127,2/3/3,999.0,N,2022-01-16
SKU-CRO-0037,croptops,M,116,0/0/0,999.0,Y,2022-01-16
SKU-CRO-0038,croptops,M,45,1/2/2,675.0,N,2022-01-16
SKU-SHO-0039,shorts,S,113,0/2/2,999.0,N,2022-01-16
SKU-SHO-0040,shorts,XXL,127,0/0/0,999.0,Y,2022-01-16
SKU-TSH-0041,tshirts,M,128,0/1/1,999.0,N,2022-01-16
SKU-CRO-0042,croptops,XS,125,0/0/0,999.0,Y,2022-01-16
SKU-CRO-0043,croptops,M,59,0/2/2,885.0,N,2022-01-16
SKU-JAC-0044,jackets,S,107,0/1/1,999.0,N,2022-01-16
SKU-SHI-0045,shirts,M,108,0/2/2,999.0,N,2022-01-16
SKU-JAC-0046,jackets,XL,129,0/1/1,999.0,N,2022-01-16
SKU-PAN-0047,pants,M,102,0/1/1,999.0,N,2022-01-16
SKU-CRO-0048,croptops,XS,53,0/2/2,795.0,N,2022-01-16
SKU-TSH-0049,tshirts,XS,124,0/2/2,999.0,N,2022-01-16
SKU-SHO-0050,shorts,S,120,1/3/3,999.0,N,2022-01-16
SKU-SHI-0051,shirts,XS,72,0/2/2,999.0,N,2022-01-16
SKU-SHI-0052,shirts,XL,78,0/0/0,999.0,Y,2022-01-16
SKU-JAC-0053,jackets,XS,70,0/2/2,999.0,N,2022-01-16
SKU-SHI-0054,shirts,XXL,76,2/2/2,999.0,N,2022-01-16
SKU-JAC-0055,jackets,XS,111,0/0/0,999.0,Y,2022-01-16
SKU-SHI-0001,shirts,S,0,53/134/134,0.0,N,2022-01-23
SKU-PAN-0002,pants,L,0,25/71/71,0.0,N,2022-01-23
SKU-SHI-0003,shirts,XS,22,13/46/46,14.3,N,2022-01-23
SKU-TSH-0004,tshirts,M,84,9/36/36,70.0,N,2022-01-23
SKU-CRO-0005,croptops,S,34,10/22/22,46.4,N,2022-01-23
SKU-SHI-0006,shirts,L,77,5/18/18,128.3,N,2022-01-23
SKU-CRO-0007,croptops,L,87,6/14/14,186.4,N,2022-01-23
SKU-PAN-0008,pants,S,122,3/13/13,281.5,N,2022-01-23
SKU-PAN-0009,pants,XS,84,3/13/13,193.8,N,2022-01-23
SKU-TSH-0010,tshirts,L,76,2/10/10,228.0,N,2022-01-23
SKU-SHO-0011,shorts,M,117,2/5/5,702.0,N,2022-01-23
SKU-TSH-0012,tshirts,S,51,2/7/7,218.6,N,2022-01-23
SKU-SHI-0013,shirts,XXL,80,5/10/10,240.0,N,2022-01-23
SKU-CRO-0014,croptops,XS,43,3/11/11,117.3,N,2022-01-23
SKU-SHI-0015,shirts,XXL,136,1/4/4,999.0,N,2022-01-23
SKU-PAN-0016,pants,S,122,1/5/5,732.0,N,2022-01-23
SKU-SHI-0017,shirts,M,77,2/5/5,462.0,N,2022-01-23
SKU-PAN-0018,pants,XL,114,3/7/7,488.6,N,2022-01-23
SKU-CRO-0019,croptops,XS,52,4/9/9,173.3,N,2022-01-23
SKU-PAN-0020,pants,XXL,85,1/6/6,425.0,N,2022-01-23
SKU-PAN-0021,pants,S,80,2/5/5,480.0,N,2022-01-23
SKU-PAN-0022,pants,XXL,106,0/0/0,999.0,Y,2022-01-23
SKU-SHO-0023,shorts,M,124,1/4/4,930.0,N,2022-01-23
SKU-SHI-0024,shirts,XS,59,3/4/4,442.5,N,2022-01-23
SKU-JAC-0025,jackets,XXL,87,6/8/8,326.2,N,2022-01-23
SKU-PAN-0026,pants,S,84,1/3/3,840.0,N,2022-01-23
SKU-JAC-0027,jackets,M,44,3/5/5,264.0,N,2022-01-23
SKU-PAN-0028,pants,S,103,3/4/4,772.5,N,2022-01-23
SKU-TSH-0029,tshirts,XS,95,1/2/2,999.0,N,2022-01-23
SKU-CRO-0030,croptops,XS,60,0/2/2,900.0,N,2022-01-23
SKU-JAC-0031,jackets,L,47,0/2/2,705.0,N,2022-01-23
SKU-TSH-0032,tshirts,XL,91,4/6/6,455.0,N,2022-01-23
SKU-SHO-0033,shorts,XXL,119,0/1/1,999.0,N,2022-01-23
SKU-PAN-0034,pants,XL,63,1/3/3,630.0,N,2022-01-23
SKU-CRO-0035,croptops,XL,52,1/1/1,999.0,N,2022-01-23
SKU-SHI-0036,shirts,S,127,0/3/3,999.0,N,2022-01-23
SKU-CRO-0037,croptops,XS,116,0/0/0,999.0,Y,2022-01-23
SKU-CRO-0038,croptops,XL,45,0/2/2,675.0,N,2022-01-23
SKU-SHO-0039,shorts,S,112,1/3/3,999.0,N,2022-01-23
SKU-SHO-0040,shorts,XXL,125,2/2/2,999.0,N,2022-01-23
SKU-TSH-0041,tshirts,L,128,0/1/1,999.0,N,2022-01-23
SKU-CRO-0042,croptops,L,124,1/1/1,999.0,N,2022-01-23
SKU-CRO-0043,croptops,M,58,1/3/3,580.0,N,2022-01-23
SKU-JAC-0044,jackets,XL,106,1/2/2,999.0,N,2022-01-23
SKU-SHI-0045,shirts,L,108,0/2/2,999.0,N,2022-01-23
SKU-JAC-0046,jackets,M,128,1/2/2,999.0,N,2022-01-23
SKU-PAN-0047,pants,L,102,0/1/1,999.0,N,2022-01-23
SKU-CRO-0048,croptops,XL,53,0/2/2,795.0,N,2022-01-23
SKU-TSH-0049,tshirts,XS,124,0/2/2,999.0,N,2022-01-23
SKU-SHO-0050,shorts,M,120,0/3/3,999.0,N,2022-01-23
SKU-SHI-0051,shirts,XS,72,0/2/2,999.0,N,2022-01-23
SKU-SHI-0052,shirts,XXL,78,0/0/0,999.0,Y,2022-01-23
SKU-JAC-0053,jackets,L,69,1/3/3,690.0,N,2022-01-23
SKU-SHI-0054,shirts,XXL,76,0/2/2,999.0,N,2022-01-23
SKU-JAC-0055,jackets,L,110,1/1/1,999.0,N,2022-01-23
SKU-SHI-0001,shirts,S,0,56/190/190,0.0,N,2022-01-30
SKU-PAN-0002,pants,S,0,14/85/85,0.0,N,2022-01-30
SKU-SHI-0003,shirts,M,9,13/59/59,4.6,N,2022-01-30
SKU-TSH-0004,tshirts,XS,73,11/47/47,46.6,N,2022-01-30
SKU-CRO-0005,croptops,M,29,5/27/27,32.2,N,2022-01-30
SKU-SHI-0006,shirts,L,72,5/23/23,93.9,N,2022-01-30
SKU-CRO-0007,croptops,XS,83,4/18/18,138.3,N,2022-01-30
SKU-PAN-0008,pants,M,117,5/18/18,195.0,N,2022-01-30
SKU-PAN-0009,pants,S,83,1/14/14,177.9,N,2022-01-30
SKU-TSH-0010,tshirts,XXL,70,6/16/16,131.2,N,2022-01-30
SKU-SHO-0011,shorts,XL,117,0/5/5,702.0,N,2022-01-30
SKU-TSH-0012,tshirts,XL,48,3/10/10,144.0,N,2022-01-30
SKU-SHI-0013,shirts,M,74,6/16/16,138.8,N,2022-01-30
SKU-CRO-0014,croptops,S,43,0/11/11,117.3,N,2022-01-30
SKU-SHI-0015,shirts,L,135,1/5/5,810.0,N,2022-01-30
SKU-PAN-0016,pants,M,120,2/7/7,514.3,N,2022-01-30
SKU-SHI-0017,shirts,L,75,2/7/7,321.4,N,2022-01-30
SKU-PAN-0018,pants,XS,113,1/8/8,423.8,N,2022-01-30
SKU-CRO-0019,croptops,XL,52,0/9/9,173.3,N,2022-01-30
SKU-PAN-0020,pants,S,82,3/9/9,273.3,N,2022-01-30
SKU-PAN-0021,pants,S,78,2/7/7,334.3,N,2022-01-30
SKU-PAN-0022,pants,XS,104,2/2/2,999.0,N,2022-01-30
SKU-SHO-0023,shorts,M,120,4/8/8,450.0,N,2022-01-30
SKU-SHI-0024,shirts,XS,58,1/5/5,348.0,N,2022-01-30
SKU-JAC-0025,jackets,L,85,2/10/10,255.0,N,2022-01-30
SKU-PAN-0026,pants,L,83,1/4/4,622.5,N,2022-01-30
SKU-JAC-0027,jackets,XXL,44,0/5/5,264.0,N,2022-01-30
SKU-PAN-0028,pants,S,100,3/7/7,428.6,N,2022-01-30
SKU-TSH-0029,tshirts,S,94,1/3/3,940.0,N,2022-01-30
SKU-CRO-0030,croptops,XL,60,0/2/2,900.0,N,2022-01-30
SKU-JAC-0031,jackets,XL,47,0/2/2,705.0,N,2022-01-30
SKU-TSH-0032,tshirts,M,91,0/6/6,455.0,N,2022-01-30
SKU-SHO-0033,shorts,XXL,118,1/2/2,999.0,N,2022-01-30
SKU-PAN-0034,pants,L,63,0/3/3,630.0,N,2022-01-30
SKU-CRO-0035,croptops,L,49,3/4/4,367.5,N,2022-01-30
SKU-SHI-0036,shirts,S,127,0/3/3,999.0,N,2022-01-30
SKU-CRO-0037,croptops,XXL,113,3/3/3,999.0,N,2022-01-30
SKU-CRO-0038,croptops,M,45,0/2/2,675.0,N,2022-01-30
SKU-SHO-0039,shorts,L,111,1/4/4,832.5,N,2022-01-30
SKU-SHO-0040,shorts,XS,124,1/3/3,999.0,N,2022-01-30
SKU-TSH-0041,tshirts,L,126,2/3/3,999.0,N,2022-01-30
SKU-CRO-0042,croptops,XXL,123,1/2/2,999.0,N,2022-01-30
SKU-CRO-0043,croptops,XS,57,1/4/4,427.5,N,2022-01-30
SKU-JAC-0044,jackets,L,106,0/2/2,999.0,N,2022-01-30
SKU-SHI-0045,shirts,XXL,108,0/2/2,999.0,N,2022-01-30
SKU-JAC-0046,jackets,XL,125,3/5/5,750.0,N,2022-01-30
SKU-PAN-0047,pants,XS,102,0/1/1,999.0,N,2022-01-30
SKU-CRO-0048,croptops,S,53,0/2/2,795.0,N,2022-01-30
SKU-TSH-0049,tshirts,L,122,2/4/4,915.0,N,2022-01-30
SKU-SHO-0050,shorts,XL,117,3/6/6,585.0,N,2022-01-30
SKU-SHI-0051,shirts,S,71,1/3/3,710.0,N,2022-01-30
SKU-SHI-0052,shirts,XXL,78,0/0/0,999.0,Y,2022-01-30
SKU-JAC-0053,jackets,M,69,0/3/3,690.0,N,2022-01-30
SKU-SHI-0054,shirts,XXL,75,1/3/3,750.0,N,2022-01-30
SKU-JAC-0055,jackets,XL,110,0/1/1,999.0,N,2022-01-30
SKU-SHI-0001,shirts,M,0,31/194/221,0.0,N,2022-02-06
SKU-PAN-0002,pants,L,0,17/82/102,0.0,N,2022-02-06
SKU-SHI-0003,shirts,XXL,0,18/64/77,0.0,N,2022-02-06
SKU-TSH-0004,tshirts,XXL,66,7/45/54,44.0,N,2022-02-06
SKU-CRO-0005,croptops,XL,25,4/24/31,31.2,N,2022-02-06
SKU-SHI-0006,shirts,S,67,5/24/28,83.8,N,2022-02-06
SKU-CRO-0007,croptops,M,79,4/20/22,118.5,N,2022-02-06
SKU-PAN-0008,pants,L,110,7/19/25,173.7,N,2022-02-06
SKU-PAN-0009,pants,XL,78,5/14/19,167.1,N,2022-02-06
SKU-TSH-0010,tshirts,XS,64,6/19/22,101.1,N,2022-02-06
SKU-SHO-0011,shorts,M,112,5/10/10,336.0,N,2022-02-06
SKU-TSH-0012,tshirts,M,45,3/12/13,112.5,N,2022-02-06
SKU-SHI-0013,shirts,XS,73,1/17/17,128.8,N,2022-02-06
SKU-CRO-0014,croptops,S,40,3/11/14,109.1,N,2022-02-06
SKU-SHI-0015,shirts,S,135,0/3/5,999.0,N,2022-02-06
SKU-PAN-0016,pants,S,117,3/10/10,351.0,N,2022-02-06
SKU-SHI-0017,shirts,XS,72,3/7/10,308.6,N,2022-02-06
SKU-PAN-0018,pants,S,113,0/7/8,484.3,N,2022-02-06
SKU-CRO-0019,croptops,M,52,0/6/9,260.0,N,2022-02-06
SKU-PAN-0020,pants,XS,79,3/10/12,237.0,N,2022-02-06
SKU-PAN-0021,pants,L,77,1/7/8,330.0,N,2022-02-06
SKU-PAN-0022,pants,XL,104,0/2/2,999.0,N,2022-02-06
SKU-SHO-0023,shorts,XL,117,3/10/11,351.0,N,2022-02-06
SKU-SHI-0024,shirts,XXL,58,0/4/5,435.0,N,2022-02-06
SKU-JAC-0025,jackets,XXL,85,0/9/10,283.3,N,2022-02-06
SKU-PAN-0026,pants,S,82,1/5/5,492.0,N,2022-02-06
SKU-JAC-0027,jackets,S,43,1/5/6,258.0,N,2022-02-06
SKU-PAN-0028,pants,XL,100,0/7/7,428.6,N,2022-02-06
SKU-TSH-0029,tshirts,M,94,0/3/3,940.0,N,2022-02-06
SKU-CRO-0030,croptops,M,60,0/2/2,900.0,N,2022-02-06
SKU-JAC-0031,jackets,M,46,1/3/3,460.0,N,2022-02-06
SKU-TSH-0032,tshirts,S,91,0/5/6,546.0,N,2022-02-06
SKU-SHO-0033,shorts,M,116,2/3/4,999.0,N,2022-02-06
SKU-PAN-0034,pants,XS,63,0/2/3,945.0,N,2022-02-06
SKU-CRO-0035,croptops,XL,45,4/8/8,168.8,N,2022-02-06
SKU-SHI-0036,shirts,XXL,127,0/2/3,999.0,N,2022-02-06
SKU-CRO-0037,croptops,S,113,0/3/3,999.0,N,2022-02-06
SKU-CRO-0038,croptops,XS,45,0/1/2,999.0,N,2022-02-06
SKU-SHO-0039,shorts,XXL,110,1/4/5,825.0,N,2022-02-06
SKU-SHO-0040,shorts,M,124,0/3/3,999.0,N,2022-02-06
SKU-TSH-0041,tshirts,L,126,0/2/3,999.0,N,2022-02-06
SKU-CRO-0042,croptops,XXL,123,0/2/2,999.0,N,2022-02-06
SKU-CRO-0043,croptops,S,57,0/2/4,855.0,N,2022-02-06
SKU-JAC-0044,jackets,XL,105,1/3/3,999.0,N,2022-02-06
SKU-SHI-0045,shirts,XXL,107,1/1/3,999.0,N,2022-02-06
SKU-JAC-0046,jackets,XS,125,0/5/5,750.0,N,2022-02-06
SKU-PAN-0047,pants,XXL,101,1/1/2,999.0,N,2022-02-06
SKU-CRO-0048,croptops,XXL,52,1/1/3,999.0,N,2022-02-06
SKU-TSH-0049,tshirts,XS,121,1/4/5,907.5,N,2022-02-06
SKU-SHO-0050,shorts,XXL,117,0/4/6,877.5,N,2022-02-06
SKU-SHI-0051,shirts,XS,70,1/3/4,700.0,N,2022-02-06
SKU-SHI-0052,shirts,L,77,1/1/1,999.0,N,2022-02-06
SKU-JAC-0053,jackets,XXL,69,0/1/3,999.0,N,2022-02-06
SKU-SHI-0054,shirts,XL,75,0/3/3,750.0,N,2022-02-06
SKU-JAC-0055,jackets,XXL,110,0/1/1,999.0,N,2022-02-06
SKU-SHI-0001,shirts,L,0,35/191/256,0.0,N,2022-02-13
SKU-PAN-0002,pants,XS,0,18/84/120,0.0,N,2022-02-13
SKU-SHI-0003,shirts,XXL,0,6/54/83,0.0,N,2022-02-13
SKU-TSH-0004,tshirts,L,63,3/35/57,54.0,N,2022-02-13
SKU-CRO-0005,croptops,L,20,5/25/36,24.0,N,2022-02-13
SKU-SHI-0006,shirts,S,62,5/21/33,88.6,N,2022-02-13
SKU-CRO-0007,croptops,XS,74,5/21/27,105.7,N,2022-02-13
SKU-PAN-0008,pants,XS,105,5/23/30,137.0,N,2022-02-13
SKU-PAN-0009,pants,XXL,74,4/13/23,170.8,N,2022-02-13
SKU-TSH-0010,tshirts,XXL,58,6/21/28,82.9,N,2022-02-13
SKU-SHO-0011,shorts,XL,109,3/12/13,272.5,N,2022-02-13
SKU-TSH-0012,tshirts,M,43,2/12/15,107.5,N,2022-02-13
SKU-SHI-0013,shirts,XL,73,0/13/17,168.5,N,2022-02-13
SKU-CRO-0014,croptops,S,37,3/11/17,100.9,N,2022-02-13
SKU-SHI-0015,shirts,L,131,4/6/9,655.0,N,2022-02-13
SKU-PAN-0016,pants,L,115,2/11/12,313.6,N,2022-02-13
SKU-SHI-0017,shirts,XS,71,1/8/11,266.2,N,2022-02-13
SKU-PAN-0018,pants,XXL,112,1/5/9,672.0,N,2022-02-13
SKU-CRO-0019,croptops,XL,51,1/7/10,218.6,N,2022-02-13
SKU-PAN-0020,pants,XS,79,0/9/12,263.3,N,2022-02-13
SKU-PAN-0021,pants,L,75,2/8/10,281.2,N,2022-02-13
SKU-PAN-0022,pants,S,102,2/4/4,765.0,N,2022-02-13
SKU-SHO-0023,shorts,S,116,1/9/12,386.7,N,2022-02-13
SKU-SHI-0024,shirts,XS,55,3/7/8,235.7,N,2022-02-13
SKU-JAC-0025,jackets,XL,81,4/13/14,186.9,N,2022-02-13
SKU-PAN-0026,pants,S,81,1/4/6,607.5,N,2022-02-13
SKU-JAC-0027,jackets,S,42,1/5/7,252.0,N,2022-02-13
SKU-PAN-0028,pants,L,99,1/7/8,424.3,N,2022-02-13
